product_id,merchant_id,sku,product_name,category,price,cost,active_status,created_at,scenario_flag
p-0041,m-004,SKU-FAS-0041,Comfort Chino Trousers,Fashion,1272.21,661.55,True,2024-01-20 14:00:00,NONE
p-0042,m-004,SKU-FAS-0042,Traditional Mojari / Footwear,Fashion,732.09,402.65,True,2024-01-20 14:00:00,NONE
p-0043,m-005,SKU-GRO-0043,Basmati Rice (1kg),Grocery,107.27,91.18,True,2025-01-12 00:00:00,NONE
p-0044,m-005,SKU-GRO-0044,Chana Dal (1kg),Grocery,106.6,91.68,True,2025-01-12 00:00:00,NONE
p-0045,m-005,SKU-GRO-0045,Mustard Oil (1L),Grocery,158.96,139.88,True,2025-01-12 00:00:00,NONE
p-0046,m-005,SKU-GRO-0046,Aashirvaad Atta (5kg),Grocery,247.41,222.67,True,2025-01-12 00:00:00,NONE
p-0047,m-005,SKU-GRO-0047,Organic Desi Ghee (500ml),Grocery,342.62,267.24,True,2025-01-12 00:00:00,NONE
p-0048,m-005,SKU-GRO-0048,Tata Salt (1kg),Grocery,25.41,22.87,True,2025-01-12 00:00:00,NONE
p-0049,m-005,SKU-GRO-0049,Maggi 2-Min Noodles (Pack of 4),Grocery,54.06,47.57,True,2025-01-12 00:00:00,NONE
p-0050,m-005,SKU-GRO-0050,Britannia Good Day Biscuits,Grocery,42.51,36.13,True,2025-01-12 00:00:00,NONE
p-0051,m-005,SKU-GRO-0051,Amul Taaza Milk (1L),Grocery,63.04,58.0,True,2025-01-12 00:00:00,NONE
p-0052,m-005,SKU-GRO-0052,Organic Quinoa & Millets (500g),Grocery,209.43,136.13,True,2025-01-12 00:00:00,NONE
p-0053,m-005,SKU-GRO-0053,Cold-Pressed Mustard Oil (1L),Grocery,314.29,220.0,True,2025-01-12 00:00:00,NONE
p-0054,m-005,SKU-GRO-0054,Dry Fruits Gift Pack (500g),Grocery,632.0,474.0,True,2025-01-12 00:00:00,NONE
p-0055,m-006,SKU-SER-0055,Shirt / Trouser Alteration & Stitching,Services,112.22,39.28,True,2025-03-13 00:00:00,NONE
p-0056,m-006,SKU-SER-0056,Dry Cleaning - Men Suit 2-Piece,Services,310.45,124.18,True,2025-03-13 00:00:00,NONE
p-0057,m-006,SKU-SER-0057,Express Shoe Laundry & Polish,Services,207.83,93.52,True,2025-03-13 00:00:00,NONE
p-0058,m-006,SKU-SER-0058,Mobile Screen Guard Application Service,Services,85.78,25.73,True,2025-03-13 00:00:00,NONE
p-0059,m-006,SKU-SER-0059,Document Scanning & Digital Lamination,Services,87.62,21.91,True,2025-03-13 00:00:00,NONE
p-0060,m-007,SKU-ELE-0060,Fast USB-C Charging Cable,Electronics,486.95,219.13,True,2025-05-10 00:00:00,NONE
p-0061,m-007,SKU-ELE-0061,10000mAh Power Bank,Electronics,1314.17,854.21,True,2025-05-10 00:00:00,NONE
p-0062,m-007,SKU-ELE-0062,Wireless Bluetooth Neckband,Electronics,1357.85,746.82,True,2025-05-10 00:00:00,NONE
p-0063,m-007,SKU-ELE-0063,Tempered Glass & Phone Case,Electronics,206.76,72.37,True,2025-05-10 00:00:00,NONE
p-0064,m-007,SKU-ELE-0064,Smartwatch with Health Monitor,Electronics,2427.55,1456.53,True,2025-05-10 00:00:00,NONE
p-0065,m-007,SKU-ELE-0065,20W Fast Wall Adapter,Electronics,628.05,345.43,True,2025-05-10 00:00:00,NONE
p-0066,m-007,SKU-ELE-0066,Wireless Earbuds with Mic,Electronics,1139.08,660.67,True,2025-05-10 00:00:00,NONE
p-0067,m-007,SKU-ELE-0067,OTG Adapter & Memory Card 64GB,Electronics,730.8,475.02,True,2025-05-10 00:00:00,NONE
p-0068,m-008,SKU-FAS-0068,Cotton Printed Kurti,Fashion,567.43,283.71,True,2025-06-24 00:00:00,NONE
p-0069,m-008,SKU-FAS-0069,Men Casual Slim Shirt,Fashion,816.98,392.15,True,2025-06-24 00:00:00,NONE
p-0070,m-008,SKU-FAS-0070,Denim Jeans,Fashion,1686.41,843.21,True,2025-06-24 00:00:00,NONE
p-0071,m-008,SKU-FAS-0071,Embroidered Silk Saree,Fashion,1942.06,873.93,True,2025-06-24 00:00:00,NONE
p-0072,m-008,SKU-FAS-0072,Leather Formal Belt,Fashion,266.13,146.37,True,2025-06-24 00:00:00,NONE
p-0073,m-008,SKU-FAS-0073,Cotton Anarkali Suit Set,Fashion,2774.3,1387.15,True,2025-06-24 00:00:00,NONE
p-0074,m-008,SKU-FAS-0074,Comfort Chino Trousers,Fashion,1207.84,628.08,True,2025-06-24 00:00:00,NONE
p-0075,m-008,SKU-FAS-0075,Traditional Mojari / Footwear,Fashion,860.33,473.18,True,2025-06-24 00:00:00,NONE
p-0076,m-009,SKU-FOO-0076,Special Masala Chai,Food & Beverage,39.11,23.47,True,2025-03-25 00:00:00,NONE
p-0077,m-009,SKU-FOO-0077,Ginger Lemon Tea,Food & Beverage,52.72,31.63,True,2025-03-25 00:00:00,NONE
p-0078,m-009,SKU-FOO-0078,Kullad Chai,Food & Beverage,51.51,29.88,True,2025-03-25 00:00:00,NONE
p-0079,m-009,SKU-FOO-0079,Filter Coffee,Food & Beverage,61.55,33.85,True,2025-03-25 00:00:00,NONE
p-0080,m-009,SKU-FOO-0080,Fresh Bun Maska,Food & Beverage,35.76,22.17,True,2025-03-25 00:00:00,NONE
p-0081,m-009,SKU-FOO-0081,Crispy Samosa (2 pcs),Food & Beverage,30.99,20.14,True,2025-03-25 00:00:00,NONE
p-0082,m-009,SKU-FOO-0082,Paneer Pakora Platter,Food & Beverage,88.85,48.87,True,2025-03-25 00:00:00,NONE
p-0083,m-009,SKU-FOO-0083,Chole Bhature,Food & Beverage,138.13,80.12,True,2025-03-25 00:00:00,NONE
p-0084,m-009,SKU-FOO-0084,Veg Grilled Sandwich,Food & Beverage,104.63,62.78,True,2025-03-25 00:00:00,NONE
p-0085,m-009,SKU-FOO-0085,Cold Coffee with Ice Cream,Food & Beverage,121.63,66.9,True,2025-03-25 00:00:00,NONE
p-0086,m-009,SKU-FOO-0086,Poha with Sev,Food & Beverage,66.56,43.26,True,2025-03-25 00:00:00,NONE
p-0087,m-009,SKU-FOO-0087,Aloo Paratha with Butter,Food & Beverage,91.14,56.51,True,2025-03-25 00:00:00,NONE
p-0088,m-009,SKU-FOO-0088,Evening Chai Combo Platter,Food & Beverage,66.57,38.61,True,2025-03-25 00:00:00,NONE
p-0089,m-009,SKU-FOO-0089,Weekend Family Chai Pot,Food & Beverage,188.25,105.42,True,2025-03-25 00:00:00,NONE
p-0090,m-010,SKU-FOO-0090,Special Masala Chai,Food & Beverage,43.92,26.35,True,2025-06-01 00:00:00,NONE
p-0091,m-010,SKU-FOO-0091,Ginger Lemon Tea,Food & Beverage,44.29,26.57,True,2025-06-01 00:00:00,NONE
p-0092,m-010,SKU-FOO-0092,Kullad Chai,Food & Beverage,51.15,29.67,True,2025-06-01 00:00:00,NONE
p-0093,m-010,SKU-FOO-0093,Filter Coffee,Food & Beverage,67.52,37.14,True,2025-06-01 00:00:00,NONE
p-0094,m-010,SKU-FOO-0094,Fresh Bun Maska,Food & Beverage,31.82,19.73,True,2025-06-01 00:00:00,NONE
p-0095,m-010,SKU-FOO-0095,Crispy Samosa (2 pcs),Food & Beverage,27.0,17.55,True,2025-06-01 00:00:00,NONE
p-0096,m-010,SKU-FOO-0096,Paneer Pakora Platter,Food & Beverage,107.88,59.33,True,2025-06-01 00:00:00,NONE
p-0097,m-010,SKU-FOO-0097,Chole Bhature,Food & Beverage,127.18,73.76,True,2025-06-01 00:00:00,NONE
p-0098,m-010,SKU-FOO-0098,Veg Grilled Sandwich,Food & Beverage,87.95,52.77,True,2025-06-01 00:00:00,NONE
p-0099,m-010,SKU-FOO-0099,Cold Coffee with Ice Cream,Food & Beverage,89.04,48.97,True,2025-06-01 00:00:00,NONE
p-0100,m-010,SKU-FOO-0100,Poha with Sev,Food & Beverage,62.66,40.73,True,2025-06-01 00:00:00,NONE
p-0101,m-010,SKU-FOO-0101,Aloo Paratha with Butter,Food & Beverage,77.7,48.17,True,2025-06-01 00:00:00,NONE
p-0102,m-010,SKU-FOO-0102,Evening Chai Combo Platter,Food & Beverage,84.45,48.98,True,2025-06-01 00:00:00,NONE
p-0103,m-010,SKU-FOO-0103,Weekend Family Chai Pot,Food & Beverage,193.52,108.37,True,2025-06-01 00:00:00,NONE
p-0104,m-011,SKU-FOO-0104,Special Masala Chai,Food & Beverage,38.53,23.12,True,2025-03-26 00:00:00,NONE
p-0105,m-011,SKU-FOO-0105,Ginger Lemon Tea,Food & Beverage,53.14,31.88,True,2025-03-26 00:00:00,NONE
p-0106,m-011,SKU-FOO-0106,Kullad Chai,Food & Beverage,48.92,28.37,True,2025-03-26 00:00:00,NONE
p-0107,m-011,SKU-FOO-0107,Filter Coffee,Food & Beverage,44.77,24.62,True,2025-03-26 00:00:00,NONE
p-0108,m-011,SKU-FOO-0108,Fresh Bun Maska,Food & Beverage,42.92,26.61,True,2025-03-26 00:00:00,NONE
p-0109,m-011,SKU-FOO-0109,Crispy Samosa (2 pcs),Food & Beverage,31.75,20.64,True,2025-03-26 00:00:00,NONE
p-0110,m-011,SKU-FOO-0110,Paneer Pakora Platter,Food & Beverage,125.11,68.81,True,2025-03-26 00:00:00,NONE
p-0111,m-011,SKU-FOO-0111,Chole Bhature,Food & Beverage,148.79,86.3,True,2025-03-26 00:00:00,NONE
p-0112,m-011,SKU-FOO-0112,Veg Grilled Sandwich,Food & Beverage,73.87,44.32,True,2025-03-26 00:00:00,NONE
p-0113,m-011,SKU-FOO-0113,Cold Coffee with Ice Cream,Food & Beverage,116.66,64.16,True,2025-03-26 00:00:00,NONE
p-0114,m-011,SKU-FOO-0114,Poha with Sev,Food & Beverage,54.54,35.45,True,2025-03-26 00:00:00,NONE
p-0115,m-011,SKU-FOO-0115,Aloo Paratha with Butter,Food & Beverage,69.57,43.13,True,2025-03-26 00:00:00,NONE
p-0116,m-011,SKU-FOO-0116,Evening Chai Combo Platter,Food & Beverage,73.2,42.46,True,2025-03-26 00:00:00,NONE
p-0117,m-011,SKU-FOO-0117,Weekend Family Chai Pot,Food & Beverage,182.81,102.37,True,2025-03-26 00:00:00,NONE
p-0118,m-012,SKU-BEA-0118,Herbal Face Wash (150ml),Beauty & Personal Care,113.76,70.53,True,2025-02-08 00:00:00,NONE
p-0119,m-012,SKU-BEA-0119,Daily Moisturising Cream,Beauty & Personal Care,160.3,96.18,True,2025-02-08 00:00:00,NONE
p-0120,m-012,SKU-BEA-0120,Sunscreen Lotion SPF 50,Beauty & Personal Care,398.61,231.19,True,2025-02-08 00:00:00,NONE
p-0121,m-012,SKU-BEA-0121,Ayurvedic Hair Oil (200ml),Beauty & Personal Care,118.06,76.74,True,2025-02-08 00:00:00,NONE
p-0122,m-012,SKU-BEA-0122,Shampoo & Conditioner Combo,Beauty & Personal Care,201.12,130.73,True,2025-02-08 00:00:00,NONE
p-0123,m-012,SKU-BEA-0123,Men Charcoal Beard Wash,Beauty & Personal Care,175.96,96.78,True,2025-02-08 00:00:00,NONE
p-0124,m-012,SKU-BEA-0124,Organic Lip Balm & Scrub,Beauty & Personal Care,82.22,45.22,True,2025-02-08 00:00:00,NONE
p-0125,m-013,SKU-FAS-0125,Cotton Printed Kurti,Fashion,556.98,278.49,True,2025-01-25 00:00:00,NONE
p-0126,m-013,SKU-FAS-0126,Men Casual Slim Shirt,Fashion,889.99,427.2,True,2025-01-25 00:00:00,NONE
p-0127,m-013,SKU-FAS-0127,Denim Jeans,Fashion,1163.64,581.82,True,2025-01-25 00:00:00,NONE
p-0128,m-013,SKU-FAS-0128,Embroidered Silk Saree,Fashion,2897.77,1304.0,True,2025-01-25 00:00:00,NONE
p-0129,m-013,SKU-FAS-0129,Leather Formal Belt,Fashion,271.73,149.45,True,2025-01-25 00:00:00,NONE
p-0130,m-013,SKU-FAS-0130,Cotton Anarkali Suit Set,Fashion,2532.63,1266.32,True,2025-01-25 00:00:00,NONE
p-0131,m-013,SKU-FAS-0131,Comfort Chino Trousers,Fashion,1041.72,541.69,True,2025-01-25 00:00:00,NONE
p-0132,m-013,SKU-FAS-0132,Traditional Mojari / Footwear,Fashion,861.11,473.61,True,2025-01-25 00:00:00,NONE
p-0133,m-014,SKU-ELE-0133,Fast USB-C Charging Cable,Electronics,482.82,217.27,True,2025-07-04 00:00:00,NONE
p-0134,m-014,SKU-ELE-0134,10000mAh Power Bank,Electronics,812.67,528.24,True,2025-07-04 00:00:00,NONE
p-0135,m-014,SKU-ELE-0135,Wireless Bluetooth Neckband,Electronics,1579.66,868.81,True,2025-07-04 00:00:00,NONE
p-0136,m-014,SKU-ELE-0136,Tempered Glass & Phone Case,Electronics,265.14,92.8,True,2025-07-04 00:00:00,NONE
p-0137,m-014,SKU-ELE-0137,Smartwatch with Health Monitor,Electronics,2109.87,1265.92,True,2025-07-04 00:00:00,NONE
p-0138,m-014,SKU-ELE-0138,20W Fast Wall Adapter,Electronics,773.29,425.31,True,2025-07-04 00:00:00,NONE
p-0139,m-014,SKU-ELE-0139,Wireless Earbuds with Mic,Electronics,1446.92,839.21,True,2025-07-04 00:00:00,NONE
p-0140,m-014,SKU-ELE-0140,OTG Adapter & Memory Card 64GB,Electronics,505.99,328.89,True,2025-07-04 00:00:00,NONE
p-0141,m-015,SKU-FOO-0141,Special Masala Chai,Food & Beverage,47.83,28.7,True,2025-05-14 00:00:00,NONE
p-0142,m-015,SKU-FOO-0142,Ginger Lemon Tea,Food & Beverage,51.71,31.03,True,2025-05-14 00:00:00,NONE
p-0143,m-015,SKU-FOO-0143,Kullad Chai,Food & Beverage,50.76,29.44,True,2025-05-14 00:00:00,NONE
p-0144,m-015,SKU-FOO-0144,Filter Coffee,Food & Beverage,62.04,34.12,True,2025-05-14 00:00:00,NONE
p-0145,m-015,SKU-FOO-0145,Fresh Bun Maska,Food & Beverage,42.0,26.04,True,2025-05-14 00:00:00,NONE
p-0146,m-015,SKU-FOO-0146,Crispy Samosa (2 pcs),Food & Beverage,38.47,25.01,True,2025-05-14 00:00:00,NONE
p-0147,m-015,SKU-FOO-0147,Paneer Pakora Platter,Food & Beverage,109.29,60.11,True,2025-05-14 00:00:00,NONE
p-0148,m-015,SKU-FOO-0148,Chole Bhature,Food & Beverage,109.11,63.28,True,2025-05-14 00:00:00,NONE
p-0149,m-015,SKU-FOO-0149,Veg Grilled Sandwich,Food & Beverage,84.28,50.57,True,2025-05-14 00:00:00,NONE
p-0150,m-015,SKU-FOO-0150,Cold Coffee with Ice Cream,Food & Beverage,93.33,51.33,True,2025-05-14 00:00:00,NONE
p-0151,m-015,SKU-FOO-0151,Poha with Sev,Food & Beverage,60.07,39.05,True,2025-05-14 00:00:00,NONE
p-0152,m-015,SKU-FOO-0152,Aloo Paratha with Butter,Food & Beverage,91.93,57.0,True,2025-05-14 00:00:00,NONE
p-0153,m-015,SKU-FOO-0153,Evening Chai Combo Platter,Food & Beverage,81.73,47.4,True,2025-05-14 00:00:00,NONE
p-0154,m-015,SKU-FOO-0154,Weekend Family Chai Pot,Food & Beverage,190.43,106.64,True,2025-05-14 00:00:00,NONE
p-0155,m-016,SKU-SER-0155,Shirt / Trouser Alteration & Stitching,Services,171.95,60.18,True,2025-05-25 00:00:00,NONE
p-0156,m-016,SKU-SER-0156,Dry Cleaning - Men Suit 2-Piece,Services,445.18,178.07,True,2025-05-25 00:00:00,NONE
p-0157,m-016,SKU-SER-0157,Express Shoe Laundry & Polish,Services,189.44,85.25,True,2025-05-25 00:00:00,NONE
p-0158,m-016,SKU-SER-0158,Mobile Screen Guard Application Service,Services,113.49,34.05,True,2025-05-25 00:00:00,NONE
p-0159,m-016,SKU-SER-0159,Document Scanning & Digital Lamination,Services,75.51,18.88,True,2025-05-25 00:00:00,NONE
p-0160,m-017,SKU-PHA-0160,Paracetamol 650mg (Strip),Pharmacy,29.94,22.46,True,2025-04-03 00:00:00,NONE
p-0161,m-017,SKU-PHA-0161,Cough Syrup Honey & Ginger,Pharmacy,78.78,55.15,True,2025-04-03 00:00:00,NONE
p-0162,m-017,SKU-PHA-0162,Ayurvedic Immunity Chyawanprash (1kg),Pharmacy,340.01,244.81,True,2025-04-03 00:00:00,NONE
p-0163,m-017,SKU-PHA-0163,Antacid Chewable Tablets,Pharmacy,61.67,46.25,True,2025-04-03 00:00:00,NONE
p-0164,m-017,SKU-PHA-0164,Vitamin C + Zinc Supplements,Pharmacy,125.45,85.31,True,2025-04-03 00:00:00,NONE
p-0165,m-017,SKU-PHA-0165,Digital Thermometer,Pharmacy,188.76,113.26,True,2025-04-03 00:00:00,NONE
p-0166,m-017,SKU-PHA-0166,First Aid Bandage & Antiseptic Ointment,Pharmacy,59.73,41.81,True,2025-04-03 00:00:00,NONE
p-0167,m-017,SKU-PHA-0167,Glucometer Test Strips (Pack of 25),Pharmacy,563.22,422.42,True,2025-04-03 00:00:00,NONE
p-0168,m-018,SKU-FOO-0168,Special Masala Chai,Food & Beverage,36.75,22.05,True,2024-12-12 00:00:00,NONE
p-0169,m-018,SKU-FOO-0169,Ginger Lemon Tea,Food & Beverage,52.59,31.55,True,2024-12-12 00:00:00,NONE
p-0170,m-018,SKU-FOO-0170,Kullad Chai,Food & Beverage,45.57,26.43,True,2024-12-12 00:00:00,NONE
p-0171,m-018,SKU-FOO-0171,Filter Coffee,Food & Beverage,68.54,37.7,True,2024-12-12 00:00:00,NONE
p-0172,m-018,SKU-FOO-0172,Fresh Bun Maska,Food & Beverage,36.32,22.52,True,2024-12-12 00:00:00,NONE
p-0173,m-018,SKU-FOO-0173,Crispy Samosa (2 pcs),Food & Beverage,37.52,24.39,True,2024-12-12 00:00:00,NONE
p-0174,m-018,SKU-FOO-0174,Paneer Pakora Platter,Food & Beverage,108.22,59.52,True,2024-12-12 00:00:00,NONE
p-0175,m-018,SKU-FOO-0175,Chole Bhature,Food & Beverage,142.43,82.61,True,2024-12-12 00:00:00,NONE
p-0176,m-018,SKU-FOO-0176,Veg Grilled Sandwich,Food & Beverage,62.6,37.56,True,2024-12-12 00:00:00,NONE
p-0177,m-018,SKU-FOO-0177,Cold Coffee with Ice Cream,Food & Beverage,127.12,69.92,True,2024-12-12 00:00:00,NONE
p-0178,m-018,SKU-FOO-0178,Poha with Sev,Food & Beverage,46.73,30.37,True,2024-12-12 00:00:00,NONE
p-0179,m-018,SKU-FOO-0179,Aloo Paratha with Butter,Food & Beverage,62.74,38.9,True,2024-12-12 00:00:00,NONE
p-0180,m-018,SKU-FOO-0180,Evening Chai Combo Platter,Food & Beverage,88.72,51.46,True,2024-12-12 00:00:00,NONE
p-0181,m-018,SKU-FOO-0181,Weekend Family Chai Pot,Food & Beverage,142.42,79.76,True,2024-12-12 00:00:00,NONE
p-0182,m-019,SKU-FOO-0182,Special Masala Chai,Food & Beverage,30.62,18.37,True,2025-03-26 00:00:00,NONE
p-0183,m-019,SKU-FOO-0183,Ginger Lemon Tea,Food & Beverage,39.95,23.97,True,2025-03-26 00:00:00,NONE
p-0184,m-019,SKU-FOO-0184,Kullad Chai,Food & Beverage,56.78,32.93,True,2025-03-26 00:00:00,NONE
p-0185,m-019,SKU-FOO-0185,Filter Coffee,Food & Beverage,58.64,32.25,True,2025-03-26 00:00:00,NONE
p-0186,m-019,SKU-FOO-0186,Fresh Bun Maska,Food & Beverage,33.58,20.82,True,2025-03-26 00:00:00,NONE
p-0187,m-019,SKU-FOO-0187,Crispy Samosa (2 pcs),Food & Beverage,32.1,20.87,True,2025-03-26 00:00:00,NONE
p-0188,m-019,SKU-FOO-0188,Paneer Pakora Platter,Food & Beverage,86.86,47.77,True,2025-03-26 00:00:00,NONE
p-0189,m-019,SKU-FOO-0189,Chole Bhature,Food & Beverage,156.34,90.68,True,2025-03-26 00:00:00,NONE
p-0190,m-019,SKU-FOO-0190,Veg Grilled Sandwich,Food & Beverage,83.25,49.95,True,2025-03-26 00:00:00,NONE
p-0191,m-019,SKU-FOO-0191,Cold Coffee with Ice Cream,Food & Beverage,85.37,46.95,True,2025-03-26 00:00:00,NONE
p-0192,m-019,SKU-FOO-0192,Poha with Sev,Food & Beverage,51.07,33.2,True,2025-03-26 00:00:00,NONE
p-0193,m-019,SKU-FOO-0193,Aloo Paratha with Butter,Food & Beverage,84.24,52.23,True,2025-03-26 00:00:00,NONE
p-0194,m-019,SKU-FOO-0194,Evening Chai Combo Platter,Food & Beverage,88.91,51.57,True,2025-03-26 00:00:00,NONE
p-0195,m-019,SKU-FOO-0195,Weekend Family Chai Pot,Food & Beverage,183.1,102.54,True,2025-03-26 00:00:00,NONE
p-0196,m-020,SKU-FOO-0196,Special Masala Chai,Food & Beverage,45.56,27.34,True,2025-03-13 00:00:00,NONE
p-0197,m-020,SKU-FOO-0197,Ginger Lemon Tea,Food & Beverage,38.28,22.97,True,2025-03-13 00:00:00,NONE
p-0198,m-020,SKU-FOO-0198,Kullad Chai,Food & Beverage,46.22,26.81,True,2025-03-13 00:00:00,NONE
p-0199,m-020,SKU-FOO-0199,Filter Coffee,Food & Beverage,57.36,31.55,True,2025-03-13 00:00:00,NONE
p-0200,m-020,SKU-FOO-0200,Fresh Bun Maska,Food & Beverage,43.93,27.24,True,2025-03-13 00:00:00,NONE
p-0201,m-020,SKU-FOO-0201,Crispy Samosa (2 pcs),Food & Beverage,33.64,21.87,True,2025-03-13 00:00:00,NONE
p-0202,m-020,SKU-FOO-0202,Paneer Pakora Platter,Food & Beverage,134.48,73.96,True,2025-03-13 00:00:00,NONE
p-0203,m-020,SKU-FOO-0203,Chole Bhature,Food & Beverage,116.27,67.44,True,2025-03-13 00:00:00,NONE
p-0204,m-020,SKU-FOO-0204,Veg Grilled Sandwich,Food & Beverage,107.07,64.24,True,2025-03-13 00:00:00,NONE
p-0205,m-020,SKU-FOO-0205,Cold Coffee with Ice Cream,Food & Beverage,81.9,45.05,True,2025-03-13 00:00:00,NONE
p-0206,m-020,SKU-FOO-0206,Poha with Sev,Food & Beverage,57.76,37.54,True,2025-03-13 00:00:00,NONE
p-0207,m-020,SKU-FOO-0207,Aloo Paratha with Butter,Food & Beverage,93.22,57.8,True,2025-03-13 00:00:00,NONE
p-0208,m-020,SKU-FOO-0208,Evening Chai Combo Platter,Food & Beverage,67.29,39.03,True,2025-03-13 00:00:00,NONE
