campaign_id,merchant_id,merchant_category,merchant_size,candidate_action_type,target_segment,discount_type,discount_value,proposed_budget,campaign_duration_days,channel,baseline_revenue_before,baseline_transactions_before,baseline_customers_before,baseline_aov,observed_lift_percent,observed_revenue_after,observed_roi,is_positive_growth,recommendation_score,is_observational_estimate,causal_guarantee_disclaimer,split
camp-0001,m-001,Food & Beverage,MICRO,EVENING_REVIVAL,Inactive Regulars (312 customers) + Evening commuters,FLAT,16.0,4200.0,10,WhatsApp Broadcast Only,308190.14,1292,581,238.54,27.2,392017.86,9.6,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0019,m-007,Electronics,MEDIUM,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,20.0,3500.0,14,WhatsApp + SMS + Paytm Soundbox Banner,275608.51,1324,595,208.16,12.5,310059.57,7.25,1,81.25,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0020,m-007,Electronics,MEDIUM,SEASONAL_SPECIAL,Loyal Champions,PERCENTAGE,20.0,1500.0,7,SMS + QR Standee at Counter,280756.7,1154,519,243.29,14.0,320062.64,6.26,1,79.3,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0021,m-008,Fashion,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,15.0,5500.0,21,SMS + QR Standee at Counter,190244.74,1037,466,183.46,4.5,198805.75,0.97,0,33.85,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0022,m-008,Fashion,SMALL,CUSTOM,Weekend Shoppers,FLAT,49.0,4200.0,7,SMS + QR Standee at Counter,325242.9,1347,606,241.46,23.2,400699.25,5.05,1,91.65,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0023,m-009,Food & Beverage,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,25.0,7500.0,14,SMS + QR Standee at Counter,264420.69,1411,634,187.4,10.2,291391.6,0.6,0,43.4,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0024,m-009,Food & Beverage,SMALL,CUSTOM,Weekend Shoppers,PERCENTAGE,20.0,2500.0,10,SMS + QR Standee at Counter,317994.55,1344,604,236.6,17.9,374915.57,9.41,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0025,m-010,Food & Beverage,MEDIUM,WEEKEND_SURGE,Evening Commuters,PERCENTAGE,25.0,3500.0,7,WhatsApp + SMS + Paytm Soundbox Banner,305312.92,1355,609,225.32,6.9,326379.51,0.2,0,34.8,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0026,m-010,Food & Beverage,MEDIUM,WEEKEND_SURGE,Weekend Shoppers,PERCENTAGE,10.0,1500.0,10,WhatsApp Broadcast Only,270871.43,1130,508,239.71,8.7,294437.24,0.42,0,39.5,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0027,m-011,Food & Beverage,MICRO,EVENING_REVIVAL,Dormant Regulars,PERCENTAGE,20.0,3500.0,14,Paytm App Geo-Fence Push,229691.71,1088,489,211.11,12.2,257714.1,4.1,1,64.9,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0028,m-011,Food & Beverage,MICRO,SEASONAL_SPECIAL,Loyal Champions,PERCENTAGE,20.0,2500.0,21,Paytm App Geo-Fence Push,227310.98,1259,566,180.55,18.1,268454.27,3.63,1,74.35,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0029,m-011,Food & Beverage,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,FLAT,50.0,1500.0,21,WhatsApp + SMS + Paytm Soundbox Banner,212207.03,1057,475,200.76,15.5,245099.12,6.08,1,81.4,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0030,m-012,Beauty & Personal Care,MICRO,RETENTION_WINBACK,Loyal Champions,FLAT,50.0,5500.0,14,WhatsApp Broadcast Only,309964.89,1294,582,239.54,9.6,339721.52,0.87,0,43.55,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0031,m-012,Beauty & Personal Care,MICRO,CUSTOM,Evening Commuters,FLAT,49.0,3500.0,14,WhatsApp Broadcast Only,296607.61,1568,705,189.16,12.0,332200.52,8.03,1,84.15,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0032,m-012,Beauty & Personal Care,MICRO,SEASONAL_SPECIAL,Dormant Regulars,PERCENTAGE,25.0,4200.0,21,Paytm App Geo-Fence Push,223253.93,1122,504,198.98,20.3,268574.48,8.23,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0033,m-013,Fashion,MICRO,CUSTOM,Weekend Shoppers,PERCENTAGE,25.0,4200.0,7,SMS + QR Standee at Counter,182529.35,937,421,194.8,17.5,214471.99,8.76,1,98.8,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0034,m-013,Fashion,MICRO,WEEKEND_SURGE,Loyal Champions,PERCENTAGE,25.0,7500.0,10,WhatsApp Broadcast Only,328814.29,1316,592,249.86,13.3,372546.59,4.55,1,69.35,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0035,m-014,Electronics,MICRO,RETENTION_WINBACK,Dormant Regulars,PERCENTAGE,20.0,2500.0,21,WhatsApp Broadcast Only,268434.16,1084,487,247.63,19.6,321047.26,9.66,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0036,m-014,Electronics,MICRO,CUSTOM,Dormant Regulars,PERCENTAGE,20.0,2500.0,10,WhatsApp Broadcast Only,224464.8,1080,486,207.84,22.3,274520.45,4.65,1,87.85,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0037,m-014,Electronics,MICRO,SEASONAL_SPECIAL,Evening Commuters,FLAT,49.0,2500.0,10,WhatsApp + SMS + Paytm Soundbox Banner,237714.88,983,442,241.83,5.9,251740.06,0.26,0,33.1,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0038,m-015,Food & Beverage,SMALL,CUSTOM,Dormant Regulars,PERCENTAGE,15.0,2500.0,14,WhatsApp + SMS + Paytm Soundbox Banner,185703.38,922,414,201.41,5.6,196102.77,0.6,0,34.2,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0039,m-015,Food & Beverage,SMALL,CUSTOM,Dormant Regulars,PERCENTAGE,20.0,7500.0,10,SMS + QR Standee at Counter,274013.31,1329,598,206.18,13.8,311827.15,6.93,1,82.25,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0040,m-015,Food & Beverage,SMALL,RETENTION_WINBACK,Loyal Champions,PERCENTAGE,15.0,1500.0,7,WhatsApp Broadcast Only,244188.56,1111,499,219.79,19.3,291316.95,6.92,1,93.2,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0041,m-015,Food & Beverage,SMALL,CUSTOM,Weekend Shoppers,FLAT,49.0,3500.0,21,WhatsApp Broadcast Only,272141.14,1128,507,241.26,9.6,298266.69,0.49,0,41.65,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0042,m-016,Services,MEDIUM,EVENING_REVIVAL,Evening Commuters,PERCENTAGE,20.0,3500.0,14,SMS + QR Standee at Counter,263572.34,1304,586,202.13,16.9,308116.07,6.64,1,87.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0043,m-016,Services,MEDIUM,WEEKEND_SURGE,Weekend Shoppers,FLAT,49.0,1500.0,10,Paytm App Geo-Fence Push,211411.18,979,440,215.95,12.9,238683.22,4.95,1,70.55,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0044,m-016,Services,MEDIUM,EVENING_REVIVAL,Evening Commuters,PERCENTAGE,20.0,1500.0,7,WhatsApp Broadcast Only,257571.94,1105,497,233.1,12.0,288480.57,7.32,1,80.6,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0045,m-016,Services,MEDIUM,CUSTOM,Evening Commuters,FLAT,50.0,1500.0,7,WhatsApp Broadcast Only,247446.05,1325,596,186.75,3.9,257096.45,0.56,0,30.6,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0046,m-017,Pharmacy,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,10.0,5500.0,14,SMS + QR Standee at Counter,224319.19,1091,490,205.61,5.5,236656.75,-0.24,0,29.8,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0047,m-017,Pharmacy,MICRO,RETENTION_WINBACK,Evening Commuters,PERCENTAGE,20.0,2500.0,10,SMS + QR Standee at Counter,206326.64,836,376,246.8,5.1,216849.3,0.65,0,33.45,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0048,m-018,Food & Beverage,MEDIUM,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,25.0,4200.0,14,Paytm App Geo-Fence Push,293899.56,1397,628,210.38,19.5,351209.97,9.68,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0049,m-018,Food & Beverage,MEDIUM,RETENTION_WINBACK,Evening Commuters,PERCENTAGE,20.0,2500.0,10,WhatsApp Broadcast Only,278846.4,1203,541,231.79,13.1,315375.28,7.15,1,81.95,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0050,m-019,Food & Beverage,SMALL,SEASONAL_SPECIAL,Dormant Regulars,FLAT,50.0,3500.0,10,WhatsApp Broadcast Only,342467.39,1471,661,232.81,25.9,431166.44,7.25,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0051,m-019,Food & Beverage,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,15.0,5500.0,7,WhatsApp Broadcast Only,297270.55,1228,552,242.08,4.9,311836.81,0.33,0,31.45,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0052,m-020,Food & Beverage,MEDIUM,BASKET_SIZE_UPSELL,Dormant Regulars,PERCENTAGE,25.0,5500.0,21,WhatsApp + SMS + Paytm Soundbox Banner,248667.09,1257,565,197.83,14.5,284723.82,4.05,1,69.25,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0053,m-020,Food & Beverage,MEDIUM,EVENING_REVIVAL,Weekend Shoppers,FLAT,49.0,4200.0,10,WhatsApp + SMS + Paytm Soundbox Banner,238281.78,1034,465,230.45,14.1,271879.51,7.83,1,87.35,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0054,m-020,Food & Beverage,MEDIUM,SEASONAL_SPECIAL,Evening Commuters,PERCENTAGE,20.0,1500.0,14,Paytm App Geo-Fence Push,302024.66,1319,593,228.98,13.5,342797.99,8.89,1,91.45,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0055,m-021,Grocery,MICRO,CUSTOM,Evening Commuters,PERCENTAGE,25.0,1500.0,7,WhatsApp Broadcast Only,232750.28,1159,521,200.82,15.7,269292.07,4.39,1,73.35,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0056,m-021,Grocery,MICRO,EVENING_REVIVAL,Evening Commuters,FLAT,50.0,5500.0,10,WhatsApp Broadcast Only,185092.06,984,442,188.1,29.6,239879.31,4.88,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0057,m-021,Grocery,MICRO,CUSTOM,Evening Commuters,FLAT,50.0,4200.0,14,WhatsApp + SMS + Paytm Soundbox Banner,185029.14,821,369,225.37,5.5,195205.74,1.17,0,36.85,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0058,m-021,Grocery,MICRO,SEASONAL_SPECIAL,Loyal Champions,PERCENTAGE,10.0,4200.0,14,WhatsApp Broadcast Only,333186.07,1601,720,208.11,15.9,386162.66,7.71,1,90.35,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0059,m-022,Fashion,SMALL,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,10.0,5500.0,7,SMS + QR Standee at Counter,305344.32,1488,669,205.2,27.1,388092.63,3.83,1,93.35,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0060,m-022,Fashion,SMALL,CUSTOM,Evening Commuters,PERCENTAGE,20.0,2500.0,7,SMS + QR Standee at Counter,217776.48,1061,477,205.26,3.8,226051.99,-0.33,0,25.95,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0061,m-023,Grocery,MEDIUM,WEEKEND_SURGE,Loyal Champions,FLAT,49.0,4200.0,21,Paytm App Geo-Fence Push,192896.89,1003,451,192.32,8.1,208521.54,1.14,0,41.9,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0062,m-023,Grocery,MEDIUM,RETENTION_WINBACK,Loyal Champions,PERCENTAGE,25.0,5500.0,14,WhatsApp + SMS + Paytm Soundbox Banner,300028.88,1577,709,190.25,20.6,361834.83,8.27,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0063,m-023,Grocery,MEDIUM,RETENTION_WINBACK,Evening Commuters,PERCENTAGE,25.0,2500.0,14,WhatsApp Broadcast Only,189822.24,937,421,202.59,14.7,217726.11,8.83,1,93.55,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0064,m-023,Grocery,MEDIUM,EVENING_REVIVAL,Evening Commuters,FLAT,49.0,5500.0,10,WhatsApp + SMS + Paytm Soundbox Banner,305537.63,1663,748,183.73,10.4,337313.54,0.31,0,42.35,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0065,m-024,Grocery,MICRO,WEEKEND_SURGE,Evening Commuters,PERCENTAGE,25.0,3500.0,7,Paytm App Geo-Fence Push,248837.61,1359,611,183.1,29.8,322991.22,6.73,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0066,m-024,Grocery,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,25.0,5500.0,14,Paytm App Geo-Fence Push,285078.48,1220,549,233.67,23.1,350931.61,8.12,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0067,m-024,Grocery,MICRO,RETENTION_WINBACK,Weekend Shoppers,PERCENTAGE,15.0,1500.0,10,WhatsApp Broadcast Only,304359.36,1542,693,197.38,4.5,318055.53,-0.22,0,27.9,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0068,m-025,Fashion,MICRO,CUSTOM,Weekend Shoppers,PERCENTAGE,20.0,7500.0,7,SMS + QR Standee at Counter,327053.38,1504,676,217.46,8.3,354198.81,0.91,0,41.15,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0069,m-025,Fashion,MICRO,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,15.0,7500.0,7,WhatsApp + SMS + Paytm Soundbox Banner,257537.96,1042,468,247.16,13.4,292048.05,5.53,1,74.45,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0070,m-025,Fashion,MICRO,EVENING_REVIVAL,Evening Commuters,PERCENTAGE,25.0,3500.0,7,WhatsApp Broadcast Only,307364.98,1578,710,194.78,18.8,365149.6,5.96,1,87.4,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0071,m-025,Fashion,MICRO,RETENTION_WINBACK,Dormant Regulars,FLAT,49.0,2500.0,7,Paytm App Geo-Fence Push,344571.61,1787,804,192.82,3.9,358009.9,-0.5,0,25.3,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0072,m-026,Food & Beverage,MICRO,RETENTION_WINBACK,Weekend Shoppers,PERCENTAGE,20.0,1500.0,10,WhatsApp + SMS + Paytm Soundbox Banner,335626.31,1799,809,186.56,10.5,370867.07,0.3,0,42.5,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0073,m-026,Food & Beverage,MICRO,RETENTION_WINBACK,Dormant Regulars,FLAT,50.0,4200.0,14,WhatsApp + SMS + Paytm Soundbox Banner,193737.21,872,392,222.18,25.6,243333.94,5.69,1,99.65,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0074,m-027,Grocery,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,15.0,5500.0,10,Paytm App Geo-Fence Push,330177.38,1365,614,241.89,13.0,373100.44,8.19,1,86.95,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0075,m-027,Grocery,SMALL,CUSTOM,Weekend Shoppers,FLAT,50.0,1500.0,14,SMS + QR Standee at Counter,282677.18,1298,584,217.78,17.5,332145.69,9.6,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0076,m-027,Grocery,SMALL,RETENTION_WINBACK,Dormant Regulars,PERCENTAGE,20.0,7500.0,21,WhatsApp + SMS + Paytm Soundbox Banner,220559.59,1218,548,181.08,10.8,244380.03,0.41,0,43.65,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0077,m-027,Grocery,SMALL,EVENING_REVIVAL,Dormant Regulars,PERCENTAGE,15.0,5500.0,10,SMS + QR Standee at Counter,340532.01,1634,735,208.4,9.3,372201.49,0.9,0,43.1,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0078,m-028,Grocery,SMALL,CUSTOM,Weekend Shoppers,FLAT,50.0,4200.0,14,WhatsApp Broadcast Only,194829.54,858,386,227.07,14.6,223274.65,9.1,1,94.7,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0079,m-028,Grocery,SMALL,WEEKEND_SURGE,Loyal Champions,PERCENTAGE,10.0,5500.0,7,SMS + QR Standee at Counter,315787.19,1301,585,242.73,14.8,362523.69,7.29,1,86.05,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0080,m-028,Grocery,SMALL,SEASONAL_SPECIAL,Weekend Shoppers,PERCENTAGE,10.0,2500.0,10,SMS + QR Standee at Counter,289522.4,1521,684,190.35,30.6,378116.25,5.66,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0081,m-029,Grocery,SMALL,EVENING_REVIVAL,Dormant Regulars,PERCENTAGE,25.0,1500.0,7,WhatsApp Broadcast Only,230999.77,996,448,231.93,17.8,272117.73,7.62,1,93.7,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0082,m-029,Grocery,SMALL,SEASONAL_SPECIAL,Evening Commuters,FLAT,49.0,1500.0,7,Paytm App Geo-Fence Push,309480.92,1556,700,198.9,19.8,370758.14,6.88,1,94.0,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0083,m-030,Pharmacy,MICRO,WEEKEND_SURGE,Evening Commuters,PERCENTAGE,15.0,3500.0,21,Paytm App Geo-Fence Push,273318.4,1281,576,213.36,5.7,288897.55,0.29,0,32.85,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0084,m-030,Pharmacy,MICRO,BASKET_SIZE_UPSELL,Dormant Regulars,FLAT,49.0,2500.0,10,WhatsApp + SMS + Paytm Soundbox Banner,243611.36,998,449,244.1,25.2,305001.42,3.85,1,89.65,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0085,m-031,Food & Beverage,SMALL,EVENING_REVIVAL,Weekend Shoppers,PERCENTAGE,15.0,7500.0,14,Paytm App Geo-Fence Push,333046.44,1830,823,181.99,6.3,354028.37,1.12,0,38.2,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0086,m-031,Food & Beverage,SMALL,CUSTOM,Loyal Champions,PERCENTAGE,20.0,2500.0,14,WhatsApp Broadcast Only,309638.8,1476,664,209.78,19.2,369089.45,4.17,1,79.25,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0087,m-031,Food & Beverage,SMALL,SEASONAL_SPECIAL,Weekend Shoppers,FLAT,49.0,1500.0,14,WhatsApp Broadcast Only,194859.57,915,411,212.96,9.9,214150.67,1.06,0,45.1,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0088,m-031,Food & Beverage,SMALL,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,15.0,7500.0,21,WhatsApp Broadcast Only,242383.76,1055,474,229.75,3.1,249897.66,-0.29,0,24.75,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0089,m-032,Fashion,SMALL,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,20.0,7500.0,7,Paytm App Geo-Fence Push,336549.58,1499,674,224.52,4.3,351021.21,1.11,0,34.15,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0090,m-032,Fashion,SMALL,RETENTION_WINBACK,Loyal Champions,PERCENTAGE,10.0,3500.0,21,WhatsApp + SMS + Paytm Soundbox Banner,234397.26,1229,553,190.72,22.0,285964.66,8.79,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0091,m-032,Fashion,SMALL,SEASONAL_SPECIAL,Weekend Shoppers,PERCENTAGE,20.0,1500.0,7,Paytm App Geo-Fence Push,323320.83,1500,675,215.55,3.4,334313.74,0.42,0,28.9,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0092,m-032,Fashion,SMALL,CUSTOM,Weekend Shoppers,PERCENTAGE,10.0,7500.0,14,Paytm App Geo-Fence Push,261492.55,1095,492,238.81,2.9,269075.83,-0.51,0,23.25,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0093,m-033,Fashion,SMALL,BASKET_SIZE_UPSELL,Weekend Shoppers,PERCENTAGE,15.0,3500.0,21,Paytm App Geo-Fence Push,230245.26,1172,527,196.46,18.2,272149.9,6.79,1,90.35,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0094,m-033,Fashion,SMALL,CUSTOM,Loyal Champions,FLAT,50.0,5500.0,14,WhatsApp Broadcast Only,182562.73,961,432,189.97,14.6,209216.89,4.86,1,73.5,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0095,m-033,Fashion,SMALL,RETENTION_WINBACK,Loyal Champions,PERCENTAGE,20.0,2500.0,10,Paytm App Geo-Fence Push,260471.45,1417,637,183.82,22.9,320119.41,4.02,1,85.9,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0096,m-033,Fashion,SMALL,SEASONAL_SPECIAL,Weekend Shoppers,FLAT,49.0,2500.0,10,Paytm App Geo-Fence Push,322668.16,1651,742,195.44,12.8,363969.68,5.46,1,72.9,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0097,m-034,Food & Beverage,MICRO,WEEKEND_SURGE,Dormant Regulars,FLAT,50.0,7500.0,7,Paytm App Geo-Fence Push,290664.89,1298,584,223.93,7.2,311592.76,0.21,0,35.45,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
